date,value
2020-01-01,101.49
2020-01-02,99.89
2020-01-03,102.56
2020-01-04,105.5
2020-01-05,100.54
2020-01-06,100.84
2020-01-07,106.59
2020-01-08,104.47
2020-01-09,101.06
2020-01-10,104.41
2020-01-11,101.7
2020-01-12,102.0
2020-01-13,104.43
2020-01-14,98.27
2020-01-15,99.14
2020-01-16,102.93
2020-01-17,101.88
2020-01-18,106.16
2020-01-19,102.8
2020-01-20,101.59
2020-01-21,110.52
2020-01-22,105.74
2020-01-23,106.92
2020-01-24,102.74
2020-01-25,105.68
2020-01-26,107.94
2020-01-27,104.45
2020-01-28,109.32
2020-01-29,106.68
2020-01-30,107.9
2020-01-31,107.25
2020-02-01,114.9
2020-02-02,109.59
2020-02-03,106.74
2020-02-04,112.66
2020-02-05,106.81
2020-02-06,111.38
2020-02-07,105.15
2020-02-08,107.32
2020-02-09,112.17
2020-02-10,114.06
2020-02-11,112.63
2020-02-12,112.04
2020-02-13,111.75
2020-02-14,108.48
2020-02-15,111.02
2020-02-16,112.05
2020-02-17,116.86
2020-02-18,114.98
2020-02-19,108.91
2020-02-20,115.42
2020-02-21,113.54
2020-02-22,112.92
2020-02-23,117.02
2020-02-24,118.52
2020-02-25,118.46
2020-02-26,113.39
2020-02-27,115.21
2020-02-28,117.37
2020-02-29,119.53
2020-03-01,115.39
2020-03-02,116.5
2020-03-03,113.96
2020-03-04,113.91
2020-03-05,120.15
2020-03-06,121.99
2020-03-07,117.92
2020-03-08,121.36
2020-03-09,119.64
2020-03-10,116.82
2020-03-11,120.04
2020-03-12,123.77
2020-03-13,119.24
2020-03-14,124.23
2020-03-15,111.87
2020-03-16,122.38
2020-03-17,120.36
2020-03-18,119.38
2020-03-19,120.73
2020-03-20,114.67
2020-03-21,120.14
2020-03-22,122.04
2020-03-23,125.57
2020-03-24,119.75
2020-03-25,119.04
2020-03-26,120.11
2020-03-27,124.52
2020-03-28,122.91
2020-03-29,120.48
2020-03-30,123.76
2020-03-31,122.65
2020-04-01,125.41
2020-04-02,120.53
2020-04-03,121.79
2020-04-04,121.72
2020-04-05,118.64
2020-04-06,124.04
2020-04-07,124.06
2020-04-08,123.41
2020-04-09,122.81
2020-04-10,119.38
2020-04-11,122.47
2020-04-12,122.81
2020-04-13,121.54
2020-04-14,123.56
2020-04-15,125.36
2020-04-16,129.9
2020-04-17,124.86
2020-04-18,125.19
2020-04-19,124.29
2020-04-20,118.84
2020-04-21,124.6
2020-04-22,124.93
2020-04-23,132.22
2020-04-24,124.33
2020-04-25,125.88
2020-04-26,124.94
2020-04-27,121.6
