date,sales
2018-01-01,197.99
2018-02-01,212.82
2018-03-01,220.77
2018-04-01,225.57
2018-05-01,220.24
2018-06-01,218.6
2018-07-01,212.66
2018-08-01,209.12
2018-09-01,201.04
2018-10-01,206.02
2018-11-01,195.79
2018-12-01,213.01
2019-01-01,221.26
2019-02-01,242.98
2019-03-01,237.01
2019-04-01,241.23
2019-05-01,241.44
2019-06-01,228.19
2019-07-01,227.88
2019-08-01,218.41
2019-09-01,217.33
2019-10-01,217.3
2019-11-01,229.35
2019-12-01,233.74
2020-01-01,237.79
2020-02-01,247.88
2020-03-01,263.85
2020-04-01,259.16
2020-05-01,273.94
2020-06-01,265.05
2020-07-01,248.5
2020-08-01,233.98
2020-09-01,243.69
2020-10-01,235.36
2020-11-01,246.5
2020-12-01,241.35
2021-01-01,258.02
2021-02-01,272.74
2021-03-01,281.96
2021-04-01,283.85
2021-05-01,288.23
2021-06-01,274.15
2021-07-01,270.47
2021-08-01,263.48
2021-09-01,259.83
2021-10-01,259.83
2021-11-01,255.02
2021-12-01,261.99
2022-01-01,287.74
2022-02-01,294.71
2022-03-01,298.32
2022-04-01,314.2
2022-05-01,306.03
2022-06-01,305.73
2022-07-01,291.86
2022-08-01,293.52
2022-09-01,286.37
2022-10-01,275.37
2022-11-01,285.84
2022-12-01,293.23
